model,model_label,map50_subset,best_threshold,f1_ci95_low,f1_ci95_high
high_accuracy,Faster R-CNN ResNet50-FPN v2,0.7596,0.7,0.6968,0.752
lightweight,SSDlite320 MobileNetV3-Large,0.3535,0.5,0.2583,0.3443
