model,condition,image_id,file_name,latency_ms,fps,prediction_count_min_score
high_accuracy,original,580418,000000580418.jpg,5605.493,0.1784,16
high_accuracy,original,259640,000000259640.jpg,5028.019,0.1989,32
high_accuracy,original,494913,000000494913.jpg,4966.353,0.2014,6
high_accuracy,original,538364,000000538364.jpg,4545.083,0.22,30
high_accuracy,original,153568,000000153568.jpg,4552.503,0.2197,4
high_accuracy,original,102805,000000102805.jpg,5169.538,0.1934,30
high_accuracy,original,457884,000000457884.jpg,4774.218,0.2095,15
high_accuracy,original,187513,000000187513.jpg,4979.888,0.2008,0
high_accuracy,original,306893,000000306893.jpg,4663.74,0.2144,51
high_accuracy,original,550426,000000550426.jpg,5727.933,0.1746,0
high_accuracy,original,142324,000000142324.jpg,5058.147,0.1977,85
high_accuracy,original,416170,000000416170.jpg,5254.198,0.1903,0
high_accuracy,original,190753,000000190753.jpg,4973.112,0.2011,31
high_accuracy,original,166747,000000166747.jpg,4561.664,0.2192,38
high_accuracy,original,352900,000000352900.jpg,4885.506,0.2047,0
high_accuracy,original,466416,000000466416.jpg,4957.864,0.2017,49
high_accuracy,original,403565,000000403565.jpg,5323.802,0.1878,6
