model,condition,image_id,file_name,latency_ms,fps,prediction_count_min_score
lightweight,original,225946,000000225946.jpg,88.372,11.3159,0
lightweight,original,479912,000000479912.jpg,88.007,11.3627,130
lightweight,original,15440,000000015440.jpg,94.656,10.5645,29
lightweight,original,266400,000000266400.jpg,91.54,10.9242,114
lightweight,original,42628,000000042628.jpg,117.806,8.4885,90
lightweight,original,245513,000000245513.jpg,81.231,12.3106,0
lightweight,original,545730,000000545730.jpg,113.526,8.8086,0
lightweight,original,570456,000000570456.jpg,116.743,8.5658,0
lightweight,original,480021,000000480021.jpg,103.739,9.6396,151
lightweight,original,322724,000000322724.jpg,104.895,9.5334,18
lightweight,original,31817,000000031817.jpg,101.878,9.8156,101
lightweight,original,252332,000000252332.jpg,71.074,14.0699,1
lightweight,original,8762,000000008762.jpg,115.821,8.634,300
lightweight,original,76417,000000076417.jpg,86.503,11.5602,10
lightweight,original,389381,000000389381.jpg,112.774,8.8673,0
lightweight,original,370208,000000370208.jpg,81.51,12.2684,2
lightweight,original,357081,000000357081.jpg,83.761,11.9388,0
lightweight,original,255749,000000255749.jpg,87.053,11.4873,69
lightweight,original,361103,000000361103.jpg,96.753,10.3356,290
lightweight,original,259625,000000259625.jpg,89.746,11.1426,0
lightweight,original,111086,000000111086.jpg,98.206,10.1826,51
lightweight,original,97994,000000097994.jpg,100.211,9.9789,0
lightweight,original,571008,000000571008.jpg,73.076,13.6844,1
lightweight,original,309173,000000309173.jpg,68.041,14.6971,1
lightweight,original,540414,000000540414.jpg,96.173,10.3979,115
lightweight,original,145020,000000145020.jpg,104.181,9.5987,42
lightweight,original,511599,000000511599.jpg,112.344,8.9012,125
lightweight,original,147745,000000147745.jpg,136.166,7.344,2
lightweight,original,145620,000000145620.jpg,101.298,9.8719,9
lightweight,original,7386,000000007386.jpg,98.882,10.113,34
lightweight,original,520009,000000520009.jpg,87.321,11.452,82
lightweight,original,239347,000000239347.jpg,97.589,10.247,74
lightweight,original,210394,000000210394.jpg,95.406,10.4815,276
lightweight,original,460347,000000460347.jpg,79.025,12.6543,18
lightweight,original,543043,000000543043.jpg,100.684,9.932,275
lightweight,original,184324,000000184324.jpg,102.669,9.7401,121
lightweight,original,91619,000000091619.jpg,94.157,10.6206,1
lightweight,original,308430,000000308430.jpg,103.676,9.6455,3
lightweight,original,449996,000000449996.jpg,102.249,9.7801,31
lightweight,original,442456,000000442456.jpg,105.383,9.4892,118
lightweight,original,436738,000000436738.jpg,112.19,8.9134,171
lightweight,original,82765,000000082765.jpg,111.399,8.9767,0
lightweight,original,460229,000000460229.jpg,83.309,12.0035,3
lightweight,original,54967,000000054967.jpg,100.852,9.9156,300
lightweight,original,391144,000000391144.jpg,86.26,11.5928,0
lightweight,original,15338,000000015338.jpg,102.954,9.7131,256
lightweight,original,276055,000000276055.jpg,100.989,9.902,7
lightweight,original,293794,000000293794.jpg,102.056,9.7986,114
lightweight,original,332318,000000332318.jpg,124.697,8.0194,10
lightweight,original,151820,000000151820.jpg,95.82,10.4362,54
lightweight,original,172856,000000172856.jpg,81.715,12.2377,1
lightweight,original,148719,000000148719.jpg,88.518,11.2971,23
lightweight,original,393226,000000393226.jpg,96.054,10.4108,116
lightweight,original,100283,000000100283.jpg,106.127,9.4227,29
lightweight,original,372317,000000372317.jpg,106.092,9.4258,1
lightweight,original,459634,000000459634.jpg,123.883,8.0721,22
lightweight,original,365655,000000365655.jpg,114.764,8.7135,7
lightweight,original,87144,000000087144.jpg,111.481,8.9701,29
lightweight,original,128372,000000128372.jpg,120.434,8.3033,140
lightweight,original,273617,000000273617.jpg,138.698,7.2099,244
lightweight,original,325527,000000325527.jpg,161.859,6.1782,0
lightweight,original,384850,000000384850.jpg,98.941,10.1071,0
lightweight,original,154947,000000154947.jpg,86.11,11.6131,0
lightweight,original,143998,000000143998.jpg,83.108,12.0325,0
lightweight,original,24027,000000024027.jpg,91.572,10.9203,16
lightweight,original,306437,000000306437.jpg,181.694,5.5038,142
lightweight,original,44590,000000044590.jpg,124.935,8.0041,280
lightweight,original,580418,000000580418.jpg,121.31,8.2433,8
lightweight,original,259640,000000259640.jpg,115.908,8.6275,174
lightweight,original,494913,000000494913.jpg,114.319,8.7475,21
lightweight,original,538364,000000538364.jpg,111.445,8.9731,94
lightweight,original,153568,000000153568.jpg,98.679,10.1339,4
lightweight,original,102805,000000102805.jpg,100.014,9.9986,14
lightweight,original,457884,000000457884.jpg,102.75,9.7324,16
lightweight,original,187513,000000187513.jpg,107.623,9.2917,0
lightweight,original,306893,000000306893.jpg,119.07,8.3984,248
lightweight,original,550426,000000550426.jpg,112.134,8.9179,0
lightweight,original,142324,000000142324.jpg,111.956,8.932,297
lightweight,original,416170,000000416170.jpg,128.517,7.7811,0
lightweight,original,190753,000000190753.jpg,102.106,9.7937,153
lightweight,original,166747,000000166747.jpg,105.298,9.4968,143
lightweight,original,352900,000000352900.jpg,99.18,10.0827,0
lightweight,original,466416,000000466416.jpg,102.167,9.7879,98
lightweight,original,403565,000000403565.jpg,84.819,11.7899,9
